name;open;high;low;close;volume;marketCap;timestamp
"2781";1.00019;1.10002;0.992407;0.998539;40036600;108437569.4;"2018-10-01T00:00:00.000Z"
"2781";0.998617;1.04775;0.97567;1.0077610914;85826958.13;162916905.85;"2018-11-01T00:00:00.000Z"
"2781";1.0107556019;1.0404163345;0.9879205341;1.0113474927;64503606.2;142870625.54;"2018-12-01T00:00:00.000Z"
"2781";1.0123495737;1.0302062082;0.9961737639;1.009607404;63835356.45;128894022.25;"2019-01-01T00:00:00.000Z"
"2781";1.0082686846;1.041755066;1.0031799664;1.0150584996;68087478.93;116243139.41;"2019-02-01T00:00:00.000Z"
"2781";1.0142999631;1.0548470421;0.9943903102;1.0025751627;50312217.5;118271807.16;"2019-03-01T00:00:00.000Z"
"2781";1.0030638774;1.0264155883;0.9752068403;1.0130063977;116891856.49;162759387.4;"2019-04-01T00:00:00.000Z"
"2781";1.0128822605;1.023595518;0.9860300002;1.0016410025;175475425.55;165555392.8;"2019-05-01T00:00:00.000Z"
"2781";1.0016293508;1.0384389378;0.982943764;1.0028870757;139437850.64;164573241.4;"2019-06-01T00:00:00.000Z"
"2781";1.0028870757;1.0214139058;0.9845085318;1.0003932436;151112647.63;184807189.31;"2019-07-01T00:00:00.000Z"
"2781";1.00013035;1.0256823437;0.9845052842;1.0043033425;252754960.22;200925984.87;"2019-08-01T00:00:00.000Z"
"2781";1.0040474785;1.0379398627;0.9919874326;1.0020201597;340572076.44;255618887.66;"2019-09-01T00:00:00.000Z"
"2781";1.0017471955;1.0373309995;0.9663139318;1.0053041682;336513195.31;249192000.64;"2019-10-01T00:00:00.000Z"
"2781";1.0057124794;1.0387949151;0.9810710081;1.0023446747;142246883.89;219242343.54;"2019-11-01T00:00:00.000Z"
"2781";1.0027603351;1.0364334925;0.9858777862;1.0032130615;310935176.89;224240260.22;"2019-12-01T00:00:00.000Z"
"2781";1.0032130615;1.0242539184;0.986558889;1.0029783403;337206869.34;226980958.48;"2020-01-01T00:00:00.000Z"
"2781";1.0016155562;1.0196566109;0.9883466867;1.0050315579;375539032.14;200692134.1;"2020-02-01T00:00:00.000Z"
"2781";1.0049099588;1.0865209;0.8727644351;1.0003489698;952190266.51;243322118.13;"2020-03-01T00:00:00.000Z"
"2781";1.0003489698;1.0211099369;0.9675343884;1.0055500375;1106106356.71;246311447.02;"2020-04-01T00:00:00.000Z"
"2781";1.0055500375;1.0509998007;0.9696689102;0.9988359338;99580710.99;244666814.21;"2020-05-01T00:00:00.000Z"
"2781";0.9991554761;1.0350501542;0.9828095669;0.999731399;135170034.19;244886160.16;"2020-06-01T00:00:00.000Z"
"2781";1.0000491524;1.0106475786;0.9874635157;0.9982606788;193363591.89;244525904.37;"2020-07-01T00:00:00.000Z"
"2781";1.00100831;1.13107119;0.9266967;0.9266967;2889660446.78;226996167.89;"2020-08-01T00:00:00.000Z"
"2781";0.92697445;1.01173358;0.91039555;0.99838394;6458981596.78;244556098.11;"2020-09-01T00:00:00.000Z"
"2781";0.99833441;1.00634091;0.99519199;0.9989779;6521452406.97;244701588.28;"2020-10-01T00:00:00.000Z"
"2781";0.9989779;1.00653295;0.99374521;1.00032731;5046052904.86;245032129.65;"2020-11-01T00:00:00.000Z"
"2781";1.00033459;1.0053508;0.97478797;0.9983128;4005818884.19;244538670.95;"2020-12-01T00:00:00.000Z"
"2781";0.99830624;1.006478;0.99449373;0.99834564;10819840413.38;244546716.07;"2021-01-01T00:00:00.000Z"
"2781";0.99832744;1.0054114;0.99493048;1.00078517;4253204720.81;675629857.44;"2021-02-01T00:00:00.000Z"
"2781";1.0008062;1.00722514;0.99024081;1.00057443;2223622715.35;954484682.52;"2021-03-01T00:00:00.000Z"
"2781";1.00027432;1.0263484;0.99292972;0.99882592;2341012642.96;908736422.48;"2021-04-01T00:00:00.000Z"
"2781";0.99896784;1.00444754;0.99643178;1.00012185;3301998164.91;1230580972.37;"2021-05-01T00:00:00.000Z"
"2781";1.00019142;1.01008387;0.99288217;0.99997608;1904889391.19;840277007.84;"2021-06-01T00:00:00.000Z"
"2781";0.99999695;1.00444983;0.99823646;0.99972409;2956716772.39;925803724.49;"2021-07-01T00:00:00.000Z"
"2781";0.99958724;1.00285418;0.99800333;1.00007877;3232706499.82;945717425.72;"2021-08-01T00:00:00.000Z"
"2781";1.00024721;1.99985026;0.97970617;1.0001086403;1048529028.16;945745675.07;"2021-09-01T00:00:00.000Z"
"2781";1.0000960631;1.0034929055;0.9988241699;0.9996353107;318143519.57;945298074.27;"2021-10-01T00:00:00.000Z"
"2781";0.9995899901;2.0227706071;0.9970696026;0.9993210689;315794077.91;945000913.67;"2021-11-01T00:00:00.000Z"
"2781";0.9993920372;1.0054723114;0.9917677092;0.9987815373;357951285.37;944490709.44;"2021-12-01T00:00:00.000Z"
"2781";0.9993570182;1.0044641325;0.9949634199;0.9971934407;388931118.76;942988937.17;"2022-01-01T00:00:00.000Z"
"2781";0.9971542771;1.0081110462;0.9913066946;1.0015637728;513191888.31;947121710.86;"2022-02-01T00:00:00.000Z"
"2781";1.001535464;1.0086099191;0.9935949392;1.0014673871;807888125.44;947030564.36;"2022-03-01T00:00:00.000Z"
"2781";1.0017412426;1.0063203692;0.9924214626;1.00073717;243369274.14;946340039.69;"2022-04-01T00:00:00.000Z"
"2781";1.0007343257;1.0244346578;0.9929251695;0.9982335297;959604590.6;943972489.94;"2022-05-01T00:00:00.000Z"
"2781";0.9982549122;1.008972938;0.9935411466;1.0026411458;1373887654.21;948140521.01;"2022-06-01T00:00:00.000Z"
"2781";1.0033881459;1.0064533965;0.9923812593;1.0007284646;356112458.09;946331807.55;"2022-07-01T00:00:00.000Z"
"2781";1.0007615767;1.0049410656;0.993988761;0.9993124296;169303851.37;944992744.04;"2022-08-01T00:00:00.000Z"
"2781";0.9993947533;1.0063055559;0.9947836674;1.0014637389;537494697.03;947027114.48;"2022-09-01T00:00:00.000Z"
"2781";1.0014029171;1.0070331412;0.9903803087;0.9972541374;1490784012.72;943046334.53;"2022-10-01T00:00:00.000Z"
"2781";0.9990450308;1.016555765;0.9791398936;1.0057720272;242668806.56;951101216.85;"2022-11-01T00:00:00.000Z"
"2781";1.005747283;1.0091607278;0.9876232331;0.9981036836;44019116.81;876418939.86;"2022-12-01T00:00:00.000Z"
